reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (千m^3),dead_storage (千m^3),frl (m),dam_height (m),year_built,main_use,source_agency,source_url,last_updated,detail_slug,location,data_period_start,data_period_end,data_period_days,last_updated_source,list_storage_rate_current (%),list_storage_volume_current (千m^3),list_7d_change_current (pt)
JP_OPENGOV_agikawa,阿木川ダム,阿木川ダム,Japan,Gifu (岐阜),阿木川,木曽川,,,44000,,,,,Flood Control River Maintenance Water Supply Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/agikawa/,2026-06-21 15:18:46,agikawa,岐阜県恵那市東野字花無山2201-79,2002-05-30,2026-06-20,8576,2026-06-20,58.3,25645,-2.5
JP_OPENGOV_aha,安波ダム,安波ダム,Japan,Okinawa (沖縄),安波川,安波川,,,14275,,,,,Flood Control River Maintenance Water Supply Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/aha/,2026-06-21 15:18:46,aha,沖縄県国頭郡国頭村字安波川瀬原1301-22,2008-03-28,2026-06-20,6606,2026-06-20,100.0,14330,7.9
JP_OPENGOV_aimata-5090,相俣ダム,相俣ダム,Japan,Gunma (群馬),赤谷川,利根川,,,20015,,,,,Flood Control River Maintenance Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/aimata-5090/,2026-06-21 15:18:46,aimata-5090,群馬県利根郡みなかみ町相俣,2002-05-30,2026-06-20,8713,2026-06-20,44.4,8889,-8.4
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,浅瀬石川ダム,Japan,Aomori (青森),浅瀬石川,岩木川,,,34266,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/asaseishikawa/,2026-06-21 15:18:46,asaseishikawa,青森県黒石市大字板留字杉の沢2,2002-05-30,2026-06-20,8753,2026-06-20,61.4,21077,-10.6
JP_OPENGOV_chouankuchi,長安口ダム,長安口ダム,Japan,Tokushima (徳島),那賀川,那賀川,,,35037,,,,,Flood Control River Maintenance Irrigation Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/chouankuchi/,2026-06-21 15:18:46,chouankuchi,徳島県那賀郡那賀町長安向イ22-1,2009-08-20,2026-06-20,6116,2026-06-20,82.1,27819,-2.8
JP_OPENGOV_chuubetsu-5190,忠別ダム,忠別ダム,Japan,Hokkaido (北海道),忠別川,石狩川,,,60876,,,,,Flood Control River Maintenance Irrigation Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/chuubetsu-5190/,2026-06-21 15:18:46,chuubetsu-5190,北海道上川郡東川町東20号,2008-10-07,2026-06-20,6415,2026-06-20,83.8,51074,-0.5
JP_OPENGOV_dono,殿ダム,殿ダム,Japan,Tottori (鳥取),袋川,千代川,,,5380,,,,,Flood Control River Maintenance Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/dono/,2026-06-21 15:18:46,dono,鳥取県鳥取市国府町殿206-4,2019-08-21,2026-06-20,2490,2026-06-20,94.8,5099,0.0
JP_OPENGOV_egawa,江川ダム,江川ダム,Japan,Fukuoka (福岡),小石原川,筑後川,,,24000,,,,,Irrigation Water Supply Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/egawa/,2026-06-21 15:18:46,egawa,福岡県朝倉市江川1660-67,2002-05-30,2026-06-20,8746,2026-06-20,44.1,10578,-0.9
JP_OPENGOV_fujiwara-5030,藤原ダム,藤原ダム,Japan,Gunma (群馬),利根川,利根川,,,31022,,,,,Flood Control River Maintenance Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/fujiwara-5030/,2026-06-21 15:18:46,fujiwara-5030,群馬県利根郡みなかみ町夜後,2002-05-30,2026-06-20,8719,2026-06-20,50.7,15731,-6.5
JP_OPENGOV_fukuchi,福地ダム,福地ダム,Japan,Okinawa (沖縄),福地川,福地川,,,44643,,,,,Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/fukuchi/,2026-06-21 15:18:46,fukuchi,沖縄県国頭郡東村字川田中上原1105-108,2008-03-28,2026-06-20,6573,2026-06-20,100.0,44739,3.7
JP_OPENGOV_funkawa,普久川ダム,普久川ダム,Japan,Okinawa (沖縄),普久川,安波川,,,1025,,,,,Flood Control River Maintenance Water Supply Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/funkawa/,2026-06-21 15:18:46,funkawa,沖縄県国頭郡国頭村字安田福地原1285-90,2008-03-28,2026-06-20,6611,2026-06-20,100.0,1051,69.1
JP_OPENGOV_futase,二瀬ダム,二瀬ダム,Japan,Saitama (埼玉),荒川,荒川,,,19216,,,,,Flood Control River Maintenance Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/futase/,2026-06-21 15:18:46,futase,埼玉県秩父市大滝3875-1,2002-05-30,2026-06-20,8752,2026-06-20,51.3,9794,-7.3
JP_OPENGOV_gassan,月山ダム,月山ダム,Japan,Yamagata (山形),梵字川,赤川,,,37419,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/gassan/,2026-06-21 15:18:46,gassan,山形県東田川郡朝日村大字上名川字東山８−１１２,2002-05-30,2026-06-20,8754,2026-06-20,100.0,17960,0.0
JP_OPENGOV_gosho,御所ダム,御所ダム,Japan,Iwate (岩手),雫石川,北上川,,,32851,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/gosho/,2026-06-21 15:18:46,gosho,岩手県盛岡市繋字山根192-4,2002-05-30,2026-06-20,8747,2026-06-20,30.7,10100,-15.1
