measurement_date,reservoir_id,reservoir_name,storage_mcm,storage_pct,storage_change_mcm,fetched_at
2026-08-03,MA_ABHT_ABOU_EL_ABESS_SEBTI,Abou El Abess Sebti,20.5,91.6,-0.038,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_BGE_MY_ABDRHMANE,Bge My abdrhmane,50.8,86.1,-0.08,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_HASSAN_1ER,Hassan 1er,212,92.3,-0.414,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_LALLA_TAKERKOUST,Lalla Takerkoust,42,82.7,-0.099,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_SD_MOHAMED_BEN_SLIMANE_EL_JAZOULI,Sd Mohamed Ben Slimane El Jazouli,9.5,76.8,0,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_SIDI_DRISS,Sidi Driss,0.6,100,0,2026-08-04 09:33:57Z
2026-08-03,MA_ABHT_YACOUB_EL_MANSOUR,Yacoub El Mansour,49.2,85.6,0,2026-08-04 09:33:57Z
2026-08-04,MA_ABHT_ABOU_EL_ABESS_SEBTI,Abou El Abess Sebti,20.4,91.4,-0.037,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_BGE_MY_ABDRHMANE,Bge My abdrhmane,50.8,86.1,-0.04,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_HASSAN_1ER,Hassan 1er,211.7,92.2,-0.255,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_LALLA_TAKERKOUST,Lalla Takerkoust,41.9,82.4,-0.148,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_SD_MOHAMED_BEN_SLIMANE_EL_JAZOULI,Sd Mohamed Ben Slimane El Jazouli,9.5,76.8,0,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_SIDI_DRISS,Sidi Driss,0.6,100,0,2026-08-04 18:10:13Z
2026-08-04,MA_ABHT_YACOUB_EL_MANSOUR,Yacoub El Mansour,49.2,85.6,0,2026-08-04 18:10:13Z
2026-08-05,MA_ABHT_ABOU_EL_ABESS_SEBTI,Abou El Abess Sebti,20.4,91.2,-0.037,2026-08-05 10:06:14Z
2026-08-05,MA_ABHT_BGE_MY_ABDRHMANE,Bge My abdrhmane,50.6,85.8,-0.121,2026-08-05 10:06:14Z
2026-08-05,MA_ABHT_HASSAN_1ER,Hassan 1er,210.9,91.8,-0.846,2026-08-05 10:06:14Z
