reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (unit not published),dead_storage (unit not published),frl (m),dam_height (m),year_built,main_use,source_agency,source_url,data_type,last_updated
494,白盆珠,,China,广东,西枝江,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
495,上板桥,,China,广东,二渡河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
496,七礤水库,,China,广东,东江,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
497,红花湖,,China,广东,东江,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
498,同沙,,China,广东,黄沙水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
499,鸡心石,,China,广东,横岭水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
500,稿树下,,China,广东,稿树下水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
501,联和,,China,广东,里波水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
502,天堂山,,China,广东,增江,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
503,流溪河,,China,广东,流溪河,流溪河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
504,天湖,,China,广东,天湖水库水,流溪河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
505,和龙,,China,广东,沙坑,流溪河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
506,显岗,,China,广东,沙河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
507,黄龙带,,China,广东,流溪河,流溪河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
508,罗田,,China,广东,茅洲河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
509,铁岗,,China,广东,西乡水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
510,西沥,,China,广东,南头河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
511,深圳,,China,广东,深圳水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
512,梅林,,China,广东,新洲河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
513,松子坑,,China,广东,龙岗河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
514,宝鸭仔,,China,广东,莲塘水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
515,四堡,,China,广东,沙坪水,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
516,长江,,China,广东,小隐涌,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-08-01 22:03:54
